t,x,z,xdot,zdot,theta,thetadot
0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.999999999999999e-05,2.1657467903850945e-08,5.2840375052985715e-08,0.00043314936028370697,0.00105680750059067,-6.497240338054974e-09,-0.00012994480676109958
0.0011,2.6205552184210494e-06,6.393685040883692e-06,0.0047646487887755265,0.011624881268214779,-7.861660809046523e-07,-0.0014293928743720956
0.0111,0.00026685841016185996,0.0006510427008242349,0.04808561433930302,0.11730434956127998,-8.005249820517538e-05,-0.014423873550482054
0.0611,0.008100563086800492,0.019723145679643075,0.26566078731913406,0.6454946730618751,-0.002425556260243022,-0.07939627693103185
0.1111,0.026900309357460253,0.06518598433536638,0.4872780079112563,1.172812145096761,-0.00801968019130836,-0.14436868031158165
0.16110000000000002,0.056965261123197226,0.13697400051903744,0.7162988978147873,1.6984752484276469,-0.016866801842495466,-0.20935990536767762
0.2111,0.09752108810022148,0.2352382468237619,0.8945183168700583,2.2340862571540177,-0.028598633571601407,-0.25587106856602965
0.2611,0.14544937878386788,0.3605223501414151,1.0145356689434146,2.778219782831239,-0.04209662218804116,-0.2809153923701742
0.3111,0.1983075284866203,0.5131243697241146,1.0944044878676131,3.326277766465693,-0.05641658465954058,-0.28951713916786154
0.3611,0.2544631888441986,0.6931775469461714,1.1485714841812262,3.8760198048046908,-0.07084485961517961,-0.28588565372609454
0.41109999999999997,0.3129271216774191,0.900737040799839,1.1883974332681664,4.426421198198946,-0.08485952718836445,-0.2734949163625549
0.46109999999999995,0.37321092780073917,1.1358229278511152,1.2226294311484387,4.977025073473511,-0.09809570708037456,-0.2551663992868183
0.5111,0.4352070867029939,1.3984389817431373,1.2578215446143317,5.52759656926456,-0.11031500196721158,-0.23315149467398982
0.5611,0.4990891548126639,1.6885817923290984,1.2987006553994815,6.077899959417675,-0.12137899356160957,-0.20921081950265555
0.6111000000000001,0.5651898483444093,2.0059300767180765,1.3465037302315865,6.612090946928159,-0.13122658575785998,-0.18468854676607538
0.6611000000000001,0.6338689360048204,2.3494014560428793,1.402042901179026,7.122915357620883,-0.13985491432998898,-0.16058058908526243
0.7111000000000002,0.7055377577669028,2.7178411937197424,1.4661778324207562,7.6109144860620415,-0.14730349779478552,-0.1375959919872124
0.7611000000000002,0.7806340153401876,3.1101213964277346,1.5391349240409222,8.076623449162604,-0.15364128257831305,-0.11621130179569136
0.8111000000000003,0.8595945583487947,3.525141079252042,1.620679619599553,8.520585490269028,-0.1589562318661208,-0.09671797714086483
0.8611000000000003,0.9428232717489945,3.9618280898398606,1.7087447609603768,8.943510667532921,-0.16334329683636736,-0.07880845860465843
0.9111000000000004,1.0303141386113808,4.419175567082094,1.7893865126053512,9.347257274861551,-0.1667888556048003,-0.05856908521057802
0.9611000000000004,1.1216571423135213,4.8962406180910545,1.8636473564587885,9.732222693359596,-0.16917184305053504,-0.036599737274528546
1.0111000000000003,1.2166361089829592,5.392087622021837,1.9352835950833511,10.09858034767876,-0.17044391368521059,-0.014317344306800945
1.0611000000000004,1.315176354756795,5.905793935850138,2.006334836287998,10.446657691974796,-0.17061332348676359,0.007391952685192944
1.1111000000000004,1.4172765779636807,6.4364554785872095,2.077783278291105,10.776861877659432,-0.16972346534150298,0.027983995379514806
1.1611000000000005,1.5229672224696182,6.9831897746299605,2.149971175135719,11.089646125376445,-0.16783900102671825,0.047136351488600396
1.2111000000000005,1.6322855637325284,7.545137777107155,2.222863863227975,11.38549215739813,-0.16503683865652066,0.064671450918427
1.2611000000000006,1.745261306577122,8.121465004318704,2.2962146277810693,11.664899386170806,-0.16140021485982703,0.08050717172579078
1.3111000000000006,1.861908753162973,8.71136222504754,2.3696673733051368,11.928377333369944,-0.15701478028399932,0.09462480323784356
1.3611000000000006,1.982223046219587,9.314045814444004,2.4428199647294853,12.176439890105282,-0.15196599053502255,0.10704803509169714
1.4111000000000007,2.1061789109625715,9.928757855505594,2.515262733624462,12.409600811946683,-0.14633735895648398,0.11782897176953752
1.4611000000000007,2.2337309007231125,10.554766039338425,2.5866013224648365,12.62837013578148,-0.14020928778782768,0.12703865359202796
1.5111000000000008,2.3648145192892405,11.191363405135354,2.6564696691419574,12.833251325245305,-0.13365829509974822,0.13476049701289078
1.5611000000000008,2.4993478257266446,11.837867952736199,2.724536802872532,13.024739009237766,-0.12675651849436287,0.1410856525004643
1.6111000000000009,2.6372332747751512,12.49362215476996,2.790509776240324,13.203317211856575,-0.11957141674626305,0.14610964570778273
1.661100000000001,2.7783596392602425,13.15799239089498,2.8541342072044142,13.369457994684256,-0.11216561606866324,0.14992989802151094
1.711100000000001,2.922603920170817,13.83036832312056,2.915193366612323,13.523620448293391,-0.10459686399450163,0.15264386695648502
1.761100000000001,3.0698331876591496,14.510162228336476,2.9735064056810954,13.6662499811747,-0.09691806440186412,0.15434763732298035
1.811100000000001,3.219906320120654,15.196808301799967,3.0289261013567397,13.797777862355591,-0.08917737413892443,0.15513485081535944
1.861100000000001,3.3726756237030453,15.889761943295701,3.081336359642378,13.91862097977038,-0.08141834636132173,0.15509589732640036
1.9111000000000011,3.5279883242367376,16.5884990358998,3.1306496290398025,14.029181780748898,-0.07368010892365653,0.1543173138308978
1.9611000000000012,3.6856879296744776,17.29251522568505,3.176804319967521,14.129848364387122,-0.06599756848826281,0.15288135108193743
2.011100000000001,3.845615464951839,18.001325209266312,3.2197622898889975,14.220994698450287,-0.05840163275181044,0.15086567773018575
2.061100000000001,4.0076105835427525,18.714462034784102,3.259506430614586,14.30298093608725,-0.05091944454314349,0.14834319774146368
2.111100000000001,4.17151256140423,19.43147642075128,3.296038379198138,14.37615381014395,-0.04357462263693749,0.14538196134370138
2.1611000000000007,4.337161179813926,20.151936096138666,3.3293763640860496,14.440847085315392,-0.036387505032941705,0.14204515291220918
2.2111000000000005,4.504397504016728,20.875425164147718,3.359553191811257,14.497382050781491,-0.02937539121663715,0.13839114164552158
2.2611000000000003,4.673064564749623,21.601543491309595,3.3866143753546254,14.54606803831573,-0.02255278057360413,0.1344735828584685
2.3111,4.843007949696843,22.32990612285614,3.4106164025510113,14.587202953107466,-0.015931604695931176,0.13034155938132655
2.3611,5.0140763117977025,23.060142724724066,3.431625141103275,14.621073806666736,-0.009521451807737249,0.1260397539949668
2.4111,5.186121801125633,23.79189705207225,3.4497143755678814,14.647957243155691,-0.0033297819579496003,0.12160864510410756
2.4610999999999996,5.359000426803998,24.524826443804937,3.464964470887039,14.668120052291536,0.002637868010493898,0.11708471898408387
2.5110999999999994,5.532572355139326,25.25860134229204,3.4774611565337845,14.681819663577906,0.008377690398400545,0.1125006929486616
2.5610999999999993,5.706702149847437,25.992904837251828,3.487294425023557,14.68930461803891,0.013887423918790963,0.10788574468866415
2.611099999999999,5.881258959930789,26.727432232601387,3.494557538373665,14.690815014853609,0.01916618250274711,0.10326574383185741
